# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Oct 30 16:44:53 2018
#
# CONSTRAINT:  where (koi_disposition like '%c%'
# CONSTRAINT:  )
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_ror_err1:   Planet-Star Radius Ratio Upper Unc.
# COLUMN koi_ror_err2:   Planet-Star Radius Ratio Lower Unc.
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [AU]
# COLUMN koi_sma_err1:   Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN koi_sma_err2:   Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_dor_err1:   Planet-Star Distance over Star Radius Upper Unc.
# COLUMN koi_dor_err2:   Planet-Star Distance over Star Radius Lower Unc.
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,ra,dec,koi_kepmag
1,10797460,K00752.01,CONFIRMED,CANDIDATE,9.488035570,2.7750000e-05,-2.7750000e-05,170.5387500,2.160000e-03,-2.160000e-03,2.95750,0.08190,-0.08190,6.1580e+02,1.950e+01,-1.950e+01,0.022344,8.320000e-04,-5.280000e-04,2.26,2.600e-01,-1.500e-01,0.0853,,,793.0,,,24.810000,2.600000,-2.600000,5455.00,81.00,-81.00,291.934230,48.141651,15.347
2,10797460,K00752.02,CONFIRMED,CANDIDATE,54.418382700,2.4790000e-04,-2.4790000e-04,162.5138400,3.520000e-03,-3.520000e-03,4.50700,0.11600,-0.11600,8.7480e+02,3.550e+01,-3.550e+01,0.027954,9.078000e-03,-1.347000e-03,2.83,3.200e-01,-1.900e-01,0.2734,,,443.0,,,77.900000,28.400000,-28.400000,5455.00,81.00,-81.00,291.934230,48.141651,15.347
3,10811496,K00753.01,CANDIDATE,CANDIDATE,19.899139950,1.4940000e-05,-1.4940000e-05,175.8502520,5.810000e-04,-5.810000e-04,1.78220,0.03410,-0.03410,1.0829e+04,1.710e+02,-1.710e+02,0.154046,5.034292e+00,-4.217900e-02,14.60,3.920e+00,-1.310e+00,0.1419,,,638.0,,,53.500000,25.700000,-25.700000,5853.00,158.00,-176.00,297.004820,48.134129,15.436
5,10854555,K00755.01,CONFIRMED,CANDIDATE,2.525591777,3.7610000e-06,-3.7610000e-06,171.5955500,1.130000e-03,-1.130000e-03,1.65450,0.04200,-0.04200,6.0330e+02,1.690e+01,-1.690e+01,0.024064,3.751000e-03,-1.522000e-03,2.75,8.800e-01,-3.500e-01,0.0374,,,1406.0,,,8.750000,4.000000,-4.000000,6031.00,169.00,-211.00,288.754880,48.226200,15.509
6,10872983,K00756.01,CONFIRMED,CANDIDATE,11.094320540,2.0360000e-05,-2.0360000e-05,171.2011600,1.410000e-03,-1.410000e-03,4.59450,0.06100,-0.06100,1.5175e+03,2.420e+01,-2.420e+01,0.036779,5.115000e-03,-1.065000e-03,3.90,1.270e+00,-4.200e-01,0.0992,,,835.0,,,16.360000,8.100000,-8.100000,6046.00,189.00,-232.00,296.286130,48.224670,15.714
7,10872983,K00756.02,CONFIRMED,CANDIDATE,4.134435120,1.0460000e-05,-1.0460000e-05,172.9793700,1.900000e-03,-1.900000e-03,3.14020,0.06730,-0.06730,6.8600e+02,1.870e+01,-1.870e+01,0.026133,1.968000e-03,-2.055000e-03,2.77,9.000e-01,-3.000e-01,0.0514,,,1160.0,,,6.960000,2.800000,-2.800000,6046.00,189.00,-232.00,296.286130,48.224670,15.714
8,10872983,K00756.03,CONFIRMED,CANDIDATE,2.566588970,1.7810000e-05,-1.7810000e-05,179.5543700,4.610000e-03,-4.610000e-03,2.42900,0.16500,-0.16500,2.2650e+02,1.680e+01,-1.680e+01,0.014983,3.935000e-03,-1.417000e-03,1.59,5.200e-01,-1.700e-01,0.0374,,,1360.0,,,5.540000,2.700000,-2.700000,6046.00,189.00,-232.00,296.286130,48.224670,15.714
10,10910878,K00757.01,CONFIRMED,CANDIDATE,16.068646740,1.0880000e-05,-1.0880000e-05,173.6219370,5.170000e-04,-5.170000e-04,3.53470,0.02410,-0.02410,4.9143e+03,3.330e+01,-3.330e+01,0.062161,9.130000e-04,-4.280000e-04,5.76,2.200e-01,-4.900e-01,0.1158,,,600.0,,,36.850000,1.200000,-1.200000,5031.00,75.00,-83.00,286.999480,48.375790,15.841
11,11446443,K00001.01,CONFIRMED,CANDIDATE,2.470613377,2.7000000e-08,-2.7000000e-08,122.7633050,8.700000e-06,-8.700000e-06,1.74319,0.00107,-0.00107,1.4231e+04,4.200e+00,-4.200e+00,0.123871,5.100000e-05,-7.100000e-05,13.04,5.100e-01,-5.100e-01,0.0354,,,1339.0,,,8.397700,0.026900,-0.026900,5820.00,78.00,-78.00,286.808470,49.316399,11.338
12,10666592,K00002.01,CONFIRMED,CANDIDATE,2.204735417,4.3000000e-08,-4.3000000e-08,121.3585417,1.600000e-05,-1.600000e-05,3.88864,0.00203,-0.00203,6.6747e+03,1.700e+00,-1.700e+00,0.075522,2.980000e-04,-3.500000e-04,16.10,8.100e-01,-9.100e-01,0.0376,,,2048.0,,,4.602000,0.345000,-0.345000,6440.00,76.00,-89.00,292.247280,47.969521,10.463
