TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
231663901,101.01,,5,5,5,5,5,5,5,5,KP,KP,12.4069,0.006,,1,spoc,21:14:56.88,-55:52:18.71,12.641,0.044,-16.011,0.041,2459036.904104,0.000393,1.430343,0.00004,1.637794,0.026852,21.90892,0.260952,19976.630024,240.31696,13.576368,.683587,1281.272865,1525.914348,78.23216,375.31,4.411,5600,,4.48851,,.890774,.043847,,,"27",2018-09-05 18:34:18,2020-09-18 19:40:29,2020-09-19 10:00:02,"WASP-46 b"
149603524,102.01,,5,5,5,5,5,5,5,5,KP,KP,9.7109,0.006,,1,spoc,05:48:33.56,-63:59:17.98,-15.641,0.037,26.046,0.037,2459036.400867,0.000211,4.411929,0.00007,3.768659,0.016882,15.201498,0.077851,13903.537818,71.70098,14.590769,.654672,673.791661,1299.424819,167.8104,175.631,.588,6280,,4.32092,,1.21427,.054221,0.24,0.05,"27",2018-09-05 18:34:18,2020-10-12 00:55:25,2020-10-12 10:00:02,"WASP 62 b"
336732616,103.01,,5,5,5,5,5,5,5,5,KP,KP,11.5232,0.008,,1,spoc,20:49:49.8,-24:25:43.3,10.426,0.07,15.62,0.051,2458327.252563,0.000586,3.547854,0.000149,3.494333,0.049205,11.377524,0.133944,10424.37207,123.359314,14.581841,.196435,1212.004395,1504.859009,.800299,411.211,7.752,6351,,4.22896,,1.4,,,,"1",2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,"HATS-3"
231670397,104.01,,5,5,5,5,5,5,5,5,KP,KP,9.8638,0.006,,1,spoc,21:19:47.93,-58:08:56.16,10.552,0.045,-10.658,0.043,2459038.863566,0.000955,4.087493,0.00032,5.602984,0.075253,3.826381,0.051854,3518.024086,47.758137,13.667798,.670757,2242.218597,1755.048963,34.222645,316.678,2.9655,6036,,3.93359,,2.21867,.102573,,,"1,27",2018-09-05 18:34:18,2020-09-18 19:20:05,2020-09-19 10:00:02,"WASP-73"
144065872,105.01,,5,5,5,5,5,5,5,5,KP,KP,9.4995,0.006,,1,spoc,22:29:49.88,-48:00:11.16,91.976,0.052,-6.861,0.069,2458326.50599,0.000156,2.184683,0.000028,2.85986,0.013496,12.682299,0.051028,11612.873441,46.99771,13.631036,.660112,1362.124772,1549.437178,238.78224,137.544,.7905,5630,,4.37759,,1.23824,.059698,,,"1,28",2018-09-05 18:34:19,2020-10-05 19:19:49,2020-10-05 19:46:26,"WASP-95"
38846515,106.01,,5,5,5,5,5,5,5,5,KP,KP,10.3157,0.006,,1,spoc,04:35:50.36,-64:01:37.34,10.845,0.035,-0.499,0.052,2458326.745117,0.000179,2.84938,0.000006,3.776111,0.01379,8.121677,0.02748,7452.432617,25.309372,9.06138,.02705,1311.385376,1534.80188,278.009491,364.411,2.729,6900,,4.438,,1,,,,"1,2,3,4,5,6",2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,"WASP-100b"
92352620,107.01,,5,5,5,5,5,5,5,5,KP,KP,9.6433,0.006,,1,spoc,20:55:07.98,-34:08:08.7,26.376,0.078,-44.947,0.059,2459039.335846,0.000386,3.949959,0.000128,4.552883,0.028823,14.009334,0.100987,12820.185499,93.008575,19.729856,.869864,1364.201304,1550.027362,131.48947,211.211,2.4835,6153,,4.18077,,1.71036,.074613,0.22,0.1,"1,27",2018-09-05 18:34:18,2020-09-18 19:26:23,2020-09-19 10:00:02,"WASP-94A (planet host)"
289793076,108.01,,5,5,5,5,5,5,5,5,KP,KP,13.163,0.01,,1,spoc,21:07:50.76,-26:05:48.19,3.479,0.063,-10.313,0.038,2458328.084864,0.000922,3.044616,0.000308,2.561663,0.099007,23.639619,0.907821,21537.575209,835.78503,11.916674,.456252,315.909422,1075.252335,20.395718,421.855,8.339,5523,,4.52192,,.809868,,,,"1,28",2018-09-05 18:34:19,2020-10-05 16:53:25,2020-10-05 16:00:01,"HATS-13"
29344935,109.01,,5,5,5,5,5,5,5,,KP,KP,13.2366,0.007,,1,spoc,20:52:51.71,-25:41:14.55,1.053,0.052,-9.881,0.029,2458326.127529,0.001296,2.766764,0.00027,2.643398,0.116306,17.236283,0.546449,15749.856668,503.17117,12.499106,.530989,505.883054,1209.573553,17.233343,513.011,9.1275,5346,,4.48823,,.984866,,,,"1,28",2018-09-05 18:34:19,2020-10-01 19:27:19,2020-10-02 10:00:02,"HATS-14"
281459670,110.01,,5,5,5,5,5,5,5,5,KP,KP,11.6714,0.006,,1,spoc,00:22:28.45,-59:56:33.32,-22.309,0.036,-4.893,0.034,2458328.040464,0.000446,3.174305,0.000044,2.723339,0.030983,17.075061,0.164396,15603.693104,151.40271,13.668801,.12625,662.491006,1293.94181,100.35208,342.14,2.912,5943,,4.42524,,1.06,,-0.1,0.1,"1,2,28",2018-09-05 18:34:19,2020-10-05 20:01:46,2020-10-05 19:46:26,"HATS-30"
