star_ID,Period(yrs),Radius(REarth),a(AU),BBtemp(K),planet_type
6237,0.900432,0.956981,1.10587,415.129,0
285,0.263130,0.708652,0.365106,339.193,0
3316,2.49985,0.728602,2.16136,288.768,0
4453,0.152916,0.779345,0.256372,413.678,0
3500,0.0428608,0.715349,0.0859273,375.429,0
579,0.110651,0.570193,0.208291,468.661,0
1837,0.0562913,0.969564,0.101899,334.732,0
5931,0.0491225,0.599051,0.0756845,225.815,0
1714,0.403778,0.889195,0.603845,467.004,0
1807,0.151776,0.900372,0.295725,567.721,0
894,0.258419,0.857985,0.358067,335.901,0
4453,0.341263,0.984131,0.437820,316.556,0
1999,1.27399,0.901379,1.27801,307.570,0
2105,0.276966,0.656712,0.420523,418.709,0
2799,0.222002,0.546400,0.367619,463.394,0
599,0.0950038,0.846161,0.193469,523.127,0
4453,0.321833,0.759076,0.421039,322.802,0
1363,0.791624,0.938195,0.918380,350.444,0
6936,1.82856,0.932510,1.65916,284.562,0
1824,1.39855,0.947303,1.45011,341.699,0
6813,0.737010,0.914573,0.833503,323.187,0
1132,0.175432,0.542522,0.306267,474.652,0
5637,0.345058,0.914802,0.542193,489.069,0
3513,0.0738694,0.519527,0.123330,312.114,0
610,0.446540,0.636525,0.545453,315.471,0
598,0.274053,0.584915,0.441230,472.398,0
894,0.0952432,0.529622,0.184065,468.498,0
2046,0.175464,0.939071,0.369074,705.328,0
6601,0.0755045,0.835264,0.141870,404.503,0
2388,0.444711,0.549173,0.605426,396.596,0
6482,3.27698,0.796533,2.73214,295.865,0
1215,0.510748,0.757445,0.577558,281.600,1
4936,0.223772,0.896202,0.262529,223.459,1
1234,3.42860,0.972297,2.54330,234.757,1
5236,2.30109,0.514901,1.79948,226.157,1
3739,0.958674,0.793278,0.957698,274.025,1
7199,0.411574,0.941563,0.473473,269.353,1
2117,1.78454,0.951701,1.42837,216.009,1
288,1.97746,0.770394,1.60562,231.422,1
894,0.470060,0.568737,0.533561,275.170,1
6307,1.90739,0.723990,1.58051,238.387,1
1146,1.34193,0.569638,1.20085,246.030,1
5544,0.500432,0.946068,0.515342,229.062,1
5540,1.41685,0.903696,1.15944,207.641,1
3343,2.11083,0.688792,1.72919,241.673,1
2758,0.862209,0.698838,0.830930,243.981,1
48,1.00524,0.769212,0.965716,256.708,1
535,2.09467,0.582677,1.63479,217.400,1
5901,0.163559,0.826149,0.196794,209.628,1
3766,0.837580,0.963754,0.767624,216.895,1
2974,0.406138,0.680631,0.434223,229.385,1
6237,4.08666,0.673883,3.03143,250.732,1
6345,0.559060,0.785504,0.623353,282.724,1
295,3.06609,0.875406,2.23457,216.829,1
6453,1.33174,0.818918,1.14768,226.458,1
4549,0.631021,0.862999,0.668294,265.206,1
4936,0.162722,0.563157,0.212295,248.495,1
3316,5.00953,0.941653,3.43544,229.046,1
3343,2.36593,0.845102,1.86584,232.655,1
6276,1.09989,0.811836,1.08691,281.938,1
6237,5.46271,0.823875,3.67853,227.613,1
5749,3.09146,0.875471,2.26821,220.620,1
579,0.766384,0.676970,0.756831,245.864,1
2597,1.26530,0.674449,1.12369,236.805,1
6237,5.46271,0.881617,3.67853,227.613,1
1963,2.81818,0.634964,2.08682,217.303,1
6307,2.08359,0.678266,1.67641,231.468,1
6457,1.65694,0.947943,1.40380,237.051,1
3627,0.863391,0.876394,0.889157,281.074,1
6127,0.807157,0.714046,0.801564,253.686,1
1405,4.07341,0.940671,2.77057,208.275,1
553,4.78834,0.982420,3.20225,213.488,1
3746,1.91564,0.595978,0.928156,76.3394,2
6337,0.814956,0.848409,0.672562,171.811,2
3500,0.997508,0.732156,0.700437,131.495,2
1083,4.36077,0.533000,2.89013,202.217,2
4157,0.320634,0.615181,0.285857,142.693,2
6337,1.86694,0.877732,1.16877,130.332,2
4236,2.89159,0.754124,1.99767,189.333,2
7199,3.82358,0.876938,2.09239,128.129,2
5610,1.57116,0.604284,1.19605,185.112,2
5737,0.0713402,1.64766,0.165032,616.027,3
4200,0.773010,1.56390,0.874388,329.156,3
3316,0.273136,1.56034,0.493973,604.034,3
3500,0.0280627,1.32086,0.0647904,432.353,3
5055,1.63102,1.41718,1.53871,296.148,3
6453,0.312542,1.32129,0.436663,367.134,3
5162,0.266711,1.10234,0.419001,443.853,3
7009,1.63853,1.27143,1.53363,291.717,3
4635,0.212571,1.04494,0.398339,592.937,3
6237,2.15361,1.11500,1.97779,310.416,3
4453,0.301978,1.09101,0.403540,329.727,3
3282,0.382636,1.70289,0.515154,366.096,3
3812,0.185451,1.03341,0.323013,482.275,3
1714,0.672548,1.68731,0.848488,393.968,3
579,0.110651,1.08062,0.208291,468.661,3
3812,0.457467,1.58647,0.589713,356.931,3
1215,0.467120,1.16928,0.544181,290.107,3
3760,1.59508,1.46225,1.55161,313.435,3
6101,2.92427,1.53474,2.51558,302.991,3
4360,0.284665,1.02700,0.399232,357.376,3
3986,1.67165,1.41979,1.64307,326.113,3
2822,0.179387,1.49074,0.284564,390.485,3
6232,0.436969,1.00942,0.562108,349.287,3
288,0.0556314,1.09733,0.148520,760.912,3
3812,0.185451,1.05398,0.323013,482.275,3
4528,0.376590,1.22077,0.527072,395.193,3
6057,0.0996058,1.72546,0.150387,281.954,3
4635,0.946341,1.27061,1.07799,360.435,3
794,0.714222,1.42608,0.814942,325.492,3
2046,1.20929,1.20598,1.33662,370.632,3
6015,0.417291,1.15247,0.582078,407.776,3
2859,0.191713,1.05548,0.320284,446.914,3
1215,0.205238,1.18924,0.314506,381.606,3
1824,3.31461,1.68670,2.57773,256.286,4
6918,2.33012,1.00600,1.98456,272.413,4
3277,2.40633,1.48117,1.91705,239.236,4
794,2.63290,1.69476,1.94474,210.704,4
1132,1.51318,1.29251,1.28812,231.445,4
314,2.90905,1.22088,2.30420,253.745,4
6150,2.31444,1.36449,2.01810,285.646,4
3739,2.11304,1.12521,1.62201,210.561,4
285,0.824148,1.45323,0.781584,231.829,4
5624,3.70248,1.01808,2.85697,262.750,4
1277,0.726927,1.41216,0.721458,243.609,4
5213,1.27198,1.33900,1.17884,259.780,4
5901,0.144544,1.69464,0.181230,218.444,4
6307,2.08359,1.60625,1.67641,231.468,4
285,0.629607,1.68905,0.653158,253.599,4
6174,1.61581,1.27628,1.43897,261.084,4
5557,0.200328,1.29616,0.234679,213.705,4
2689,1.57081,1.45691,1.29149,218.002,4
5540,1.00396,1.72245,0.921531,232.906,4
3343,2.28703,1.02614,1.82413,235.300,4
224,0.809903,1.13047,0.822296,266.245,4
6484,2.58870,1.26593,2.13819,265.496,4
2341,1.38347,1.09475,1.16717,219.565,4
5544,0.480743,1.05889,0.501735,232.148,4
285,0.837728,1.10131,0.790146,230.570,4
6237,2.88591,1.51989,2.40394,281.561,4
3812,0.939001,1.37925,0.952455,280.855,4
6484,2.07955,1.00953,1.84773,285.603,4
3656,4.83626,1.01614,3.44266,244.687,4
1271,2.05597,1.34466,1.81763,281.368,4
3844,4.64028,1.71098,3.20647,226.184,4
6321,0.667309,1.72099,0.675950,246.377,4
1824,5.82802,1.62034,3.75517,212.339,4
7009,3.21684,1.25064,2.40456,232.972,4
1405,1.54699,1.01126,1.45297,287.604,4
6097,3.13975,1.35406,2.27001,215.078,4
958,4.34356,1.13215,2.92808,209.344,4
5626,3.20183,1.07904,2.32994,219.668,4
1132,1.22584,1.24905,1.11940,248.275,4
4635,2.54451,1.37731,2.08442,259.204,4
285,1.11684,1.09825,0.957121,209.495,4
535,1.00753,1.66427,1.00359,277.468,4
5364,1.26567,1.60712,1.11106,231.064,4
3062,4.14583,1.40078,3.17080,269.010,4
803,3.82036,1.25855,2.68058,217.224,4
5223,0.122408,1.21111,0.172668,263.641,4
3485,0.155267,1.70508,0.198206,233.125,4
1440,0.873484,1.26594,0.841377,244.914,4
3884,2.29426,1.43651,1.80751,229.497,4
5624,4.26036,1.67221,3.13719,250.740,4
288,1.45572,1.65912,1.30905,256.300,4
2380,5.44157,1.18112,3.64595,224.872,4
4936,0.199220,1.63355,0.242958,232.286,4
2467,5.47925,1.01791,3.66787,225.020,4
4082,1.75835,1.67904,1.42877,221.803,4
5087,4.01663,1.72430,3.13925,278.356,4
803,3.90825,1.34491,2.72153,215.583,4
2388,1.22392,1.32248,1.18899,283.002,4
7009,3.74298,1.40976,2.66008,221.501,4
7495,0.225806,1.25972,0.262266,219.480,4
6091,1.50105,1.59895,1.26267,224.986,4
1271,3.30698,1.43280,2.49526,240.143,4
7295,18.1540,1.57816,7.60352,130.185,5
3500,0.997508,1.01449,0.700437,131.495,5
5107,8.90021,1.42664,3.95217,112.831,5
3195,5.53008,1.05027,3.23463,169.512,5
97,11.2394,1.34928,4.83067,114.899,5
4229,4.67883,1.60883,2.51599,133.159,5
6453,8.78380,1.25702,4.03641,120.753,5
4390,2.97885,1.47722,1.49481,97.0536,5
6742,1.76957,1.05116,1.06490,117.454,5
4608,0.273250,1.57964,0.216972,105.071,5
2129,10.6189,1.28344,5.37221,159.052,5
5901,1.78584,1.52926,0.968553,94.4914,5
5931,0.859429,1.05972,0.510067,86.9849,5
2734,14.3823,1.17866,6.04713,120.282,5
5642,8.06697,1.73711,4.29171,159.661,5
2822,6.13094,1.03331,2.99690,120.326,5
4278,9.08618,1.13621,4.36500,134.401,5
7329,12.1175,1.21091,5.62688,139.299,5
2974,3.26333,1.60889,1.74196,114.526,5
5540,7.48993,1.64882,3.51844,119.196,5
794,5.11375,1.65622,3.02736,168.877,5
3766,3.59191,1.05484,2.02620,133.501,5
493,15.3721,1.51631,7.03872,147.824,5
1658,10.3625,1.49525,5.60061,181.360,5
3703,4.55566,1.42712,2.63453,153.863,5
4113,5.25751,1.14053,2.07046,71.7601,5
2046,6.23699,1.12073,3.98999,214.517,5
6601,1.33137,1.39171,0.961117,155.410,5
5902,0.722745,1.35016,0.513542,119.496,5
958,6.64470,1.67791,3.88749,181.685,5
6482,5.69189,1.25888,3.94783,246.131,5
5236,5.84193,1.35636,3.34886,165.782,5
1779,4.47206,1.16878,2.43329,134.239,5
3884,14.3888,1.63527,6.14708,124.446,5
807,1.96147,1.44438,1.45238,189.676,5
5383,7.58865,1.62908,4.14842,165.317,5
4389,9.12182,1.23420,5.16916,191.196,5
6276,8.97153,1.10446,4.40425,140.061,5
1440,1.84484,1.68723,1.38503,190.888,5
1083,4.36077,1.40523,2.89013,202.217,5
4291,9.32111,1.68223,4.92560,166.155,5
7129,7.46158,1.35031,4.40741,193.660,5
1277,8.91897,1.19284,3.83790,105.622,5
2948,2.87490,1.16401,2.07446,207.223,5
5616,11.3251,1.08317,5.83892,169.623,5
6150,9.21920,1.33062,5.07117,180.196,5
1146,4.06790,1.14472,2.51525,169.997,5
2758,6.62677,1.36021,3.23611,123.631,5
2974,3.26333,1.37469,1.74196,114.526,5
1137,6.01714,1.24996,3.31300,153.865,5
6057,3.54056,1.54644,1.62581,85.7530,5
285,3.48746,1.00668,2.04477,143.329,5
5779,12.7623,1.15615,6.28371,160.857,5
6150,9.21920,1.37910,5.07117,180.196,5
6288,0.332780,3.32729,0.483767,408.960,6
794,0.703540,2.71956,0.806796,327.131,6
3339,0.127380,2.69773,0.178913,265.180,6
6394,0.356183,2.46987,0.491205,375.069,6
